id,nome,formato,licensa,dataPublicacao,dataAtualizacao,periodoTempo,possuiDownload,descricao,acesso
52,Garagens de operadores do Serviço Público de Transporte Coletivo de Passageiros por Ônibus (SPPO) no Município do Rio de Janeiro em 2021,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,14 de outubro de 2021,em 2021,True,"{'operador': 'String de caractere', 'endereco': 'String de caractere', 'bairro': 'String de caractere', 'globalid': 'Identificador global da Esri', 'shape__Area': 'Número decimal de precisão dupla', 'shape__Length': 'Número decimal de precisão dupla'}",Público
53,Dados do sistema Comando (COR): procedimento operacional padrao,['Document Link'],CC BY-ND 3.0,,15 de dezembro de 2023,,False,,Público
54,Estações VLT,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,Dados Atualizados: 6 de setembro de 2024,,True,"{'nome': 'String de caractere', 'integra_metro': 'Inteiro curto', 'integra_barcas': 'Inteiro curto', 'integra_onibus': 'Inteiro curto', 'integra_trem': 'Inteiro curto', 'integra_teleferico': 'Inteiro curto', 'integra_aeroporto': 'Inteiro curto', 'linha_1': 'String de caractere', 'linha_2': 'String de caractere', 'linha_3': 'String de caractere'}",Público
55,"Movimentação de desembarque de carga de contêiner, segundo a dimensão pela navegação de cabotagem, no Porto do Rio de Janeiro entre 1994-2009",['Microsoft Excel'],CC BY 4.0,,13 de setembro de 2023,1994-2009,True,,Público
56,"Movimento de passageiros segundo os transportes rodoviário, ferroviário, hidroviário e aeroviário no Município do Rio de Janeiro entre 1995-2023",,,,False,1995-2023,True,,
57,"Movimentação total de carga em contêineres, segundo a dimensão no Porto do Rio de Janeiro no Município do Rio de Janeiro - 1994-2009",['Microsoft Excel'],CC BY 4.0,,30 de maio de 2019,1994-2009,True,,Público
58,"Fluxo de passageiros, embarcados por dia, no subsistema do sistema ferroviário entre 1995-2023",['Microsoft Excel'],CC BY 4.0,,2 de abril de 2024,1995-2023,True,,Público
59,Estações BRT,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,Dados Atualizados: 19 de julho de 2024,,True,"{'corredor': 'String de caractere', 'lote_oper': 'Inteiro longo', 'nome': 'String de caractere', 'ano': 'String de caractere', 'populacao': 'Inteiro longo', 'tipo': 'String de caractere'}",Público
60,Transporte Rodoviário: Subsídio dos ônibus (SPPO),['Document Link'],CC BY-ND 3.0,,24 de janeiro de 2024,,False,,Público
61,Rede Cicloviária implantada,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,6 de fevereiro de 2024,,True,"{'status': 'String de caractere', 'fluxo_infr': 'String de caractere', 'ext': 'Número decimal de precisão dupla'}",Público
62,"Passageiros transportados no sistema BRT, segundo as estações, no Município do Rio de Janeiro entre 2012-2023",['Microsoft Excel'],Nenhuma Fornecida,,25 de julho de 2024,2012-2023,True,,Público
63,Transporte Rodoviário: Histórico de GPS dos ônibus (SPPO),['Document Link'],CC BY-ND 3.0,,15 de dezembro de 2023,,False,,Público
64,"Total anual e fluxo médio diário de passageiros das redes hidróviária, metroviária e ferroviária por Áreas de Planejamento (AP), Regiões de Planejamento (RP), Regiões Administrativas (RA) e Bairros do Município do Rio de Janeiro entre 2016-2017",['Microsoft Excel'],CC BY 4.0,,11 de setembro de 2023,2016-2017,True,,Público
65,Mapa Digital das Rotas Cicloviarias do Rio de Janeiro,['Web Mapping Application'],CC BY 4.0,,8 de março de 2023,,False,,Público
66,Movimento anual de passageiros embarcados por estações e subsistemas do sistema ferroviário entre 1995-2023,['Microsoft Excel'],CC BY 4.0,,2 de abril de 2024,1995-2023,True,,Público
67,Pontos de Parada da rede de transporte público por ônibus (SPPO),"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,1 de setembro de 2023,,True,{'stop_name': 'String de caractere'},Público
68,Evolução da extensão de ciclovias por Áreas de Planejamento (AP) do Município do Rio de Janeiro entre 1990-2011,['Microsoft Excel'],CC BY 4.0,,28 de setembro de 2023,1990-2011,True,,Público
69,Logradouros,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,27 de novembro de 2023,,True,"{'cod_trecho': 'Inteiro longo', 'cl': 'String de caractere', 'chavegeo_tr': 'String de caractere', 'np_ini_par': 'Inteiro longo', 'np_fin_par': 'Inteiro longo', 'np_ini_imp': 'Inteiro longo', 'np_fin_imp': 'Inteiro longo', 'cod_tipo_logra': 'Inteiro curto', 'tipo_logra_abr': 'String de caractere', 'tipo_logra_ext': 'String de caractere'}",Público
70,Fluxo médio de passageiros por dia útil nas linhas da rede metroviária no Município do Rio de Janeiro entre 1995-2023,['Microsoft Excel'],CC BY 4.0,,20 de março de 2024,1995-2023,True,,Público
71,Trajeto Bonde,['Feature Service'],CC BY 4.0,,Data de Atualização: 17 de outubro de 2022,,False,,Público
72,Estações Teleférico,['Feature Service'],CC BY 4.0,,Data de Atualização: 17 de outubro de 2022,,False,,Público
73,Aeroportos,['Feature Service'],CC BY 4.0,,Data de Atualização: 17 de outubro de 2022,,False,,Público
74,"Carga embarcada no Porto do Rio de Janeiro, segundo o tipo de navegação e a a natureza da carga, no Município do Rio de Janeiro entre 1990-2012",['Microsoft Excel'],CC BY 4.0,,30 de agosto de 2023,1990-2012,True,,Público
75,NOTA TÉCNICA 02 - Análise da morbimortalidade pré-hospitalar por acidentes de transporte terrestre no Município do Rio de Janeiro em 2007 (Setembro/2012),['PDF'],CC BY 4.0,,31 de agosto de 2023,em 2007,True,,Público
76,Plano Verão 2023/2024: Ações Estratégicas e Integradas,,,,False,,True,,
77,Trajeto dos Teleféricos,['Feature Service'],CC BY 4.0,,Data de Atualização: 6 de setembro de 2023,,False,,Público
78,"Movimentação total de embarque de carga em contêineres, segundo a dimensão, no Porto do Rio de Janeiro entre 1994-2009",['Microsoft Excel'],CC BY 4.0,,5 de setembro de 2023,1994-2009,True,,Público
79,Barcas,['Feature Service'],CC BY 4.0,,Data de Atualização: 17 de outubro de 2022,,False,,Público
80,Administração de Serviços Públicos: Chamados feitos ao 1746,['Document Link'],CC BY-ND 3.0,,22 de maio de 2024,,False,,Público
81,Monitoramento das Emissões de Gases de Efeito Estufa da Cidade do Rio de Janeiro - 2012 a 2021 (Novembro/2023),,,,False,2012 a 2021,True,,
82,Indicadores de desempenho diário do sistema de transporte de ônibus no Município do Rio de Janeiro entre 1984-2018,['Microsoft Excel'],CC BY 4.0,,14 de setembro de 2023,1984-2018,True,,Público
83,Transporte Público,['Web Mapping Application'],Personalizada,,Data de Atualização: 3 de setembro de 2024,,False,,Público
84,Fluxo médio diário de passageiros e de aeronaves nos aeroportos no Município do Rio de Janeiro entre 1994-2023,['Microsoft Excel'],CC BY 4.0,,11 de abril de 2024,1994-2023,True,,Público
85,População e taxa de motorização por tipo de veículo no Município do Rio de Janeiro entre 1994-2022,['Microsoft Excel'],CC BY 4.0,,26 de junho de 2024,1994-2022,True,,Público
86,"Movimento médio diário de passageiros, segundo os transportes rodoviário, ferroviário, hidroviário e aeroviário no Município do Rio de Janeiro entre 1995-2023",,,,False,1995-2023,True,,
87,"Passageiros transportados no Metrô, segundo as estações e linhas no Município do Rio de Janeiro entre 1995-2023",['Microsoft Excel'],CC BY 4.0,,20 de março de 2024,1995-2023,True,,Público
88,,,,,,,,,
89,"Movimentação na área de porto organizado, segundo natureza de carga e sentido da navegação, no Porto do Rio de Janeiro entre 1990-2012",['Microsoft Excel'],CC BY 4.0,,15 de setembro de 2023,1990-2012,True,,Público
90,Indicadores de desempenho anual do sistema de transporte de ônibus no Município do Rio de Janeiro entre 1984-2018,['Microsoft Excel'],CC BY 4.0,,6 de setembro de 2023,1984-2018,True,,Público
91,Total mensal e anual de novos licenciamento de veículos no Município do Rio de Janeiro entre 2001-2023,['Microsoft Excel'],CC BY 4.0,,24 de janeiro de 2024,2001-2023,True,,Público
92,Dados cadastrais dos veículos que operam o sistema de ônibus (BRT e SPPO),['Document Link'],CC BY 4.0,,9 de fevereiro de 2023,,False,,Público
93,GTFS do Rio de Janeiro,['CSV Collection'],CC BY 4.0,,21 de novembro de 2024,,True,,Público
94,"Total mensal de passageiros transportados no Metrô, segundo as estações e linhas, no Município do Rio de Janeiro entre 1998 e 2024",['Microsoft Excel'],Nenhuma Fornecida,,21 de março de 2024,,True,,Público
95,"Movimento de embarcações, por tipo de navegação, no Porto do Rio de Janeiro entre 2000-2009",['Microsoft Excel'],CC BY 4.0,,18 de setembro de 2023,2000-2009,True,,Público
96,Monitoramento das Emissões de Gases de Efeito Estufa da Cidade do Rio de Janeiro 2012 a 2017: Apresentação dos resultados (Junho/2019),,,,False,2012 a 2017,True,,
